ts_code,end_date,ann_date,roe_yearly,roa,grossprofit_margin,netprofit_margin,debt_ratio,revenue_yoy,netprofit_yoy,op_yoy,eps,bps,total_assets,total_liab,current_assets,current_liab,operating_cf
000001.SZ,20251231,20260321,8.1514,None,None,32.4348,,,-4.2127,-6.8797,2.07,23.2522,,,,,
000001.SZ,20250930,20251025,10.0948,None,None,38.0846,,,-3.4987,-3.7018,1.87,23.0846,,,,,
000001.SZ,20250630,20250823,9.8994,None,None,35.8435,,,-3.8989,-6.1863,1.18,22.6791,,,,,
000001.SZ,20250331,20250419,11.266,None,None,41.8167,,,-5.5987,-8.8606,0.62,22.4756,,,,,
000001.SZ,20250331,20250419,11.266,None,None,41.8167,,,-5.5987,-8.8606,0.62,22.4755,,,,,
000001.SZ,20241231,20250315,9.2038,None,None,30.3405,,,-4.1912,-4.6989,2.15,21.8951,,,,,
000001.SZ,20240930,20241019,11.0037,None,None,35.6052,,,0.2372,-2.4018,1.94,21.6699,,,,,
000001.SZ,20240630,20240816,10.8484,None,None,33.5516,,,1.938,0.4697,1.23,21.2268,,,,,
000001.SZ,20240630,20240816,10.8484,None,None,33.5516,,,1.938,0.4697,nan,21.2268,,,,,
000001.SZ,20240331,20240420,12.4704,None,None,38.5143,,,2.26,1.0071,0.66,21.4178,,,,,
000001.SZ,20231231,20240315,10.2436,None,None,28.206,,,2.063,0.7882,2.25,20.7351,,,,,
000001.SZ,20230930,20231025,11.7367,None,None,31.0536,,,8.1181,5.9445,1.94,20.4018,,,,,
000001.SZ,20230630,20230824,11.4516,None,None,28.6503,,,14.9357,14.2198,1.2,19.6914,,,,,
000001.SZ,20230331,20230425,13.2532,None,None,32.3784,,,13.6342,12.4174,0.65,19.4168,,,,,
000001.SZ,20230331,20230425,13.2532,None,None,32.3784,,,13.6342,12.4174,0.65,19.4168,,,,,
000002.SZ,20251231,20260401,-55.422,-5.7894,9.4612,-39.3304,,,-78.98,-55.5503,-7.4453,9.7987,,,,,
000002.SZ,20250930,20251031,-19.7423,-1.7282,9.5844,-17.4961,,,-56.1354,-64.0632,-2.3578,14.7314,,,,,
000002.SZ,20250630,20250823,-12.1252,-0.4789,9.9681,-10.3158,,,-21.2542,-14.179,-1.0075,16.0461,,,,,
000002.SZ,20250331,20250430,-12.5112,-0.382,6.1003,-16.8845,,,-1625.6268,-1079.8651,-0.5268,16.4893,,,,,
000002.SZ,20250331,20250430,-12.5112,-0.382,6.1003,-16.8845,,,-1625.6268,-1079.8651,-0.5268,16.4893,,,,,
000002.SZ,20241231,20250401,-21.823,-2.9938,10.1731,-14.1921,,,-506.8052,-256.0381,-4.17,16.987,,,,,
000002.SZ,20240930,20241031,-9.8677,-0.8311,9.5021,-7.4573,,,-231.728,-151.9886,-1.5132,19.6233,,,,,
000002.SZ,20240630,20240831,-8.0026,-0.4087,8.1152,-5.9678,,,-199.8179,-138.0042,-0.8309,20.2568,,,,,
000002.SZ,20240331,20240430,-0.5776,0.1106,10.8216,0.5379,,,-125.0356,-83.3843,-0.0305,21.0074,,,,,
000002.SZ,20231231,20240329,4.9294,1.9955,15.235,4.3921,,,-46.3929,-43.7781,1.03,21.0201,,,,,
000002.SZ,20230930,20231028,7.3293,1.8011,17.5806,7.2431,,,-20.3112,-24.6638,1.1585,21.1981,,,,,
000002.SZ,20230630,20230831,8.0244,1.3055,18.8665,7.5504,,,-19.4331,-16.1049,0.84,20.8979,,,,,
000002.SZ,20230331,20230429,2.3668,0.2987,15.4473,4.1384,,,1.1555,3.0412,0.1251,20.6201,,,,,
000002.SZ,20230331,20230429,2.3668,0.2987,15.4473,4.1384,,,1.1555,3.0412,0.1251,20.6201,,,,,
000006.SZ,20251231,20260403,-0.7851,0.9015,19.0963,-1.3439,,,97.3056,100.3011,-0.0313,3.9715,,,,,
000006.SZ,20250930,20251030,-0.1728,0.7447,18.5352,0.389,,,98.6635,103.7311,-0.0052,3.9976,,,,,
000006.SZ,20250630,20250829,-2.6442,0.0581,16.3226,-3.8507,,,79.4861,85.4982,-0.0526,3.9502,,,,,
000006.SZ,20250630,20250829,-2.6442,0.0581,16.3226,-3.8507,,,79.4861,85.4982,nan,3.9502,,,,,
000006.SZ,20250331,20250426,-1.9244,0.0733,16.5205,-1.4921,,,2.4876,6.3609,-0.0192,3.9836,,,,,
000006.SZ,20241231,20250426,-25.3454,-7.3544,8.0094,-28.8782,,,-95.3977,-221.0494,-1.1618,4.0028,,,,,
000006.SZ,20240930,20241031,-10.4025,-1.88,7.6584,-13.0995,,,-42612.7965,-19312.6539,-0.3878,4.7768,,,,,
000006.SZ,20240630,20240830,-10.1776,-1.2906,8.0586,-12.8221,,,-4176.1797,-7410.3338,-0.2563,4.9083,,,,,
000006.SZ,20240331,20240427,-1.5288,0.0659,29.1843,-11.3997,,,-120.0722,-39.1898,-0.0197,5.1449,,,,,
000006.SZ,20231231,20240427,-10.7927,-1.3205,39.1101,-32.0827,,,-291.2813,-172.5878,-0.5946,5.1646,,,,,
000006.SZ,20230930,20231027,-0.0208,0.5314,38.683,-0.5073,,,-100.6096,-101.1488,-0.0009,5.7583,,,,,
000006.SZ,20230630,20230825,0.2164,0.3991,34.3734,1.1971,,,-96.1899,-98.1698,0.0063,5.7655,,,,,
000006.SZ,20230331,20230429,-0.6124,0.1137,37.5656,-4.9118,,,-127.2009,-134.6206,-0.009,5.8443,,,,,
000006.SZ,20230331,20230429,-0.6124,0.1137,37.5656,-4.9118,,,-127.2009,-134.6206,-0.009,5.8443,,,,,
000007.SZ,20251231,20260429,1.0691,1.2219,12.3725,0.1588,,,-96.5842,-89.2359,0.0056,0.5232,,,,,
000007.SZ,20250930,20251031,2.5184,1.3744,11.3172,0.8218,,,7.6154,-48.8138,0.0099,0.5273,,,,,
000007.SZ,20250630,20250830,3.745,1.3227,10.933,1.466,,,9.4399,-20.1319,0.0098,0.5272,,,,,
000007.SZ,20250331,20250430,3.9356,0.7619,11.5603,1.6777,,,176.5879,26.4091,0.0051,0.5225,,,,,
000007.SZ,20241231,20250425,36.996,15.8065,14.8228,18.3731,,,56.8607,-11.684,0.16,0.5174,,,,,
000007.SZ,20240930,20241031,3.3253,0.8958,18.9727,1.063,,,-70.7195,-69.9878,0.0092,0.3722,,,,,
000007.SZ,20240630,20240831,4.8638,0.6625,23.3641,2.5362,,,-74.4905,-78.962,0.0089,0.3719,,,,,
000007.SZ,20240331,20240429,2.0328,0.2471,22.8271,0.8429,,,375.9706,-61.7779,0.0018,0.3648,,,,,
000007.SZ,20231231,20240429,33.2621,10.0786,21.5492,16.8663,,,773.5048,391.384,0.1038,0.363,,,,,
