ts_code,trade_date,close,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv,circ_mv
000001.SZ,20260612,11.24,5.1163,5.0655,0.4772,1.6595,1.6399,5.3204,5.3026,21812252.0546,21811895.134
000001.SZ,20260611,11.3,5.1436,5.0926,0.4725,1.6683,1.6486,5.2922,5.2922,21928687.5637,21928328.7379
000001.SZ,20260610,11.32,5.1527,5.1016,0.4734,1.6713,1.6516,5.2828,5.2828,21967499.4001,21967139.9392
000001.SZ,20260609,11.13,5.0662,5.016,0.4654,1.6432,1.6238,5.373,5.373,21598786.9544,21598433.5268
000001.SZ,20260608,11.03,5.0207,4.9709,0.4612,1.6285,1.6093,5.4217,5.4217,21404727.7724,21404377.5203
000001.SZ,20260605,10.98,4.9979,4.9484,0.4591,1.6211,1.602,5.4464,5.4464,21307698.1814,21307349.517
000001.SZ,20260604,10.82,4.9251,4.8763,0.4524,1.5975,1.5786,5.5269,5.5269,20997203.4902,20996859.9065
000001.SZ,20260603,10.99,5.0025,4.9529,0.4596,1.6225,1.6034,5.4414,5.4414,21327104.0996,21326755.1176
000001.SZ,20260602,11.08,5.0435,4.9934,0.4633,1.6358,1.6166,5.3972,5.3972,21501757.3634,21501405.5235
000001.SZ,20260601,10.99,5.0025,4.9529,0.4596,1.6225,1.6034,5.4414,5.4414,21327104.0996,21326755.1176
000001.SZ,20260529,10.93,4.9752,4.9258,0.457,1.6137,1.5947,5.4713,5.4713,21210668.5904,21210321.5137
000001.SZ,20260528,10.66,4.8523,4.8042,0.4458,1.5738,1.5553,5.6099,5.6099,20686708.7991,20686370.2961
000001.SZ,20260527,10.76,4.8978,4.8492,0.4499,1.5886,1.5699,5.5577,5.5577,20880767.981,20880426.3026
000001.SZ,20260526,10.79,4.9115,4.8627,0.4512,1.593,1.5742,5.5423,5.5423,20938985.7356,20938643.1046
000001.SZ,20260525,10.68,4.8614,4.8132,0.4466,1.5768,1.5582,5.5994,5.5994,20725520.6355,20725181.4974
000001.SZ,20260522,10.68,4.8614,4.8132,0.4466,1.5768,1.5582,5.5994,5.5994,20725520.6355,20725181.4974
000001.SZ,20260521,10.7,4.8705,4.8222,0.4474,1.5797,1.5611,5.5889,5.5889,20764332.4719,20763992.6987
000001.SZ,20260520,10.77,4.9023,4.8537,0.4504,1.5901,1.5713,5.5526,5.5526,20900173.8992,20899831.9033
000001.SZ,20260519,10.86,4.9433,4.8943,0.4541,1.6034,1.5845,5.5066,5.5066,21074827.163,21074482.3092
000001.SZ,20260518,10.86,4.9433,4.8943,0.4541,1.6034,1.5845,5.5066,5.5066,21074827.163,21074482.3092
000001.SZ,20260515,10.99,5.0025,4.9529,0.4596,1.6225,1.6034,5.4414,5.4414,21327104.0996,21326755.1176
000001.SZ,20260514,11.05,5.0298,4.9799,0.4621,1.6314,1.6122,5.4119,5.4119,21443539.6088,21443188.7216
000001.SZ,20260513,11.14,5.0708,5.0205,0.4658,1.6447,1.6253,5.3682,5.3682,21618192.8726,21617839.1274
000001.SZ,20260512,11.25,5.1208,5.0701,0.4704,1.6609,1.6414,5.3157,5.3157,21831657.9728,21831300.7346
000001.SZ,20260511,11.28,5.1345,5.0836,0.4717,1.6654,1.6457,5.3015,5.3015,21889875.7273,21889517.5366
000001.SZ,20260508,11.3,5.1436,5.0926,0.4725,1.6683,1.6486,5.2922,5.2922,21928687.5637,21928328.7379
000001.SZ,20260507,11.37,5.1755,5.1241,0.4754,1.6787,1.6589,5.2596,5.2596,22064528.9911,22064167.9425
000001.SZ,20260506,11.36,5.1709,5.1196,0.475,1.6772,1.6574,5.2642,5.2642,22045123.0729,22044762.3418
000001.SZ,20260430,11.49,5.2301,5.1782,0.4805,1.6964,1.6764,5.2046,5.2046,22297400.0095,22297035.1503
000001.SZ,20260429,11.52,5.2437,5.1917,0.4817,1.7008,1.6807,5.1911,5.1911,22355617.7641,22355251.9523
000001.SZ,20260428,11.46,5.2164,5.1647,0.4792,1.6919,1.672,5.2183,5.2183,22239182.2549,22238818.3483
000001.SZ,20260427,11.38,5.18,5.1286,0.4759,1.6801,1.6603,5.255,5.255,22083934.9093,22083573.5431
000001.SZ,20260424,11.0,5.007,5.007,0.4731,1.624,1.624,5.4365,5.4365,21346510.0178,21346160.7183
000001.SZ,20260423,11.0,5.007,5.007,0.4731,1.624,1.624,5.4365,5.4365,21346510.0178,21346160.7183
000001.SZ,20260422,10.98,4.9979,4.9979,0.4722,1.6211,1.6211,5.4464,5.4464,21307698.1814,21307349.517
000001.SZ,20260421,11.08,5.0435,5.0435,0.4765,1.6358,1.6358,5.3972,5.3972,21501757.3634,21501405.5235
000001.SZ,20260420,11.06,5.0344,5.0344,0.4757,1.6329,1.6329,5.407,5.407,21462945.527,21462594.3222
000001.SZ,20260417,11.01,5.0116,5.0116,0.4735,1.6255,1.6255,5.4315,5.4315,21365915.936,21365566.319
000001.SZ,20260416,11.09,5.048,5.048,0.4769,1.6373,1.6373,5.3924,5.3924,21521163.2816,21520811.1242
000001.SZ,20260415,11.21,5.1026,5.1026,0.4821,1.655,1.655,5.3346,5.3346,21754034.3,21753678.332
000001.SZ,20260414,11.17,5.0844,5.0844,0.4804,1.6491,1.6491,5.3537,5.3537,21676410.6272,21676055.9294
000001.SZ,20260413,11.07,5.0389,5.0389,0.4761,1.6344,1.6344,5.4021,5.4021,21482351.4452,21481999.9229
000001.SZ,20260410,11.09,5.048,5.048,0.4769,1.6373,1.6373,5.3924,5.3924,21521163.2816,21520811.1242
000001.SZ,20260409,11.1,5.0526,5.0526,0.4774,1.6388,1.6388,5.3875,5.3875,21540569.1998,21540216.7248
000001.SZ,20260408,11.22,5.1072,5.1072,0.4825,1.6565,1.6565,5.3299,5.3299,21773440.2182,21773083.9327
000001.SZ,20260407,11.03,5.0207,5.0207,0.4744,1.6285,1.6285,5.4217,5.4217,21404727.7724,21404377.5203
000001.SZ,20260403,11.12,5.0617,5.0617,0.4782,1.6417,1.6417,5.3778,5.3778,21579381.0362,21579027.9261
000001.SZ,20260402,11.27,5.1299,5.1299,0.4847,1.6639,1.6639,5.3062,5.3062,21870469.8091,21870111.9359
000001.SZ,20260401,11.15,5.0753,5.0753,0.4795,1.6462,1.6462,5.3633,5.3633,21637598.7908,21637244.7281
000001.SZ,20260331,11.08,5.0435,5.0435,0.4765,1.6358,1.6358,5.3972,5.3972,21501757.3634,21501405.5235
000001.SZ,20260330,10.99,5.0025,5.0025,0.4726,1.6225,1.6225,5.4414,5.4414,21327104.0996,21326755.1176
000001.SZ,20260327,11.02,5.0161,5.0161,0.4739,1.627,1.627,5.4266,5.4266,21385321.8542,21384971.9196
