date,action,ts_code,price,shares,amount,reason,profit_pct
2026-06-10,清仓,000568.SZ,116.22,1700,197574.0,止盈,36.72941176470588
2026-06-10,建仓,000651.SZ,38.0,3900,148200.0,自动建仓 | 建议优先级:HIGH | 风险等级:MEDIUM,
2026-06-10,建仓,000568.SZ,80.0,1800,144000.0,自动建仓 | 建议优先级:HIGH | 风险等级:MEDIUM,
2026-06-11,清仓,000568.SZ,116.22,1800,209196.0,止盈,45.275
2026-06-11,建仓,000651.SZ,38.0,3900,148200.0,自动建仓 | 建议优先级:HIGH | 风险等级:MEDIUM,
2026-06-11,建仓,000568.SZ,80.0,1800,144000.0,自动建仓 | 建议优先级:HIGH | 风险等级:MEDIUM,
2026-06-12,清仓,000568.SZ,116.22,1800,209196.0,止盈,45.275
2026-06-12,建仓,000651.SZ,38.0,3900,148200.0,自动建仓 | 建议优先级:HIGH | 风险等级:MEDIUM,
2026-06-12,建仓,000568.SZ,80.0,1800,144000.0,自动建仓 | 建议优先级:HIGH | 风险等级:MEDIUM,
2026-06-15,清仓,000568.SZ,116.22,1800,209196.0,止盈,45.275
2026-06-15,建仓,000651.SZ,38.0,3900,148200.0,自动建仓 | 建议优先级:HIGH | 风险等级:MEDIUM,
2026-06-15,建仓,000568.SZ,80.0,1800,144000.0,自动建仓 | 建议优先级:HIGH | 风险等级:MEDIUM,
2026-06-16,清仓,000568.SZ,116.22,1800,209196.0,止盈,45.275
2026-06-16,建仓,000651.SZ,38.0,3900,148200.0,自动建仓 | 建议优先级:HIGH | 风险等级:MEDIUM,
2026-06-16,建仓,000568.SZ,80.0,1800,144000.0,自动建仓 | 建议优先级:HIGH | 风险等级:MEDIUM,
2026-06-17,清仓,000568.SZ,116.22,1800,209196.0,止盈,45.275
2026-06-17,建仓,000651.SZ,38.53,3800,146414.0,自动建仓 | 建议优先级:HIGH | 风险等级:MEDIUM,
2026-06-17,建仓,000568.SZ,85.0,1700,144500.0,自动建仓 | 建议优先级:HIGH | 风险等级:MEDIUM,
