2026-06-16 15:24:28,010 [INFO] 全市场股票数: 5283
2026-06-16 15:24:34,483 [INFO] 完成: 总=10, 成功=10, 失败=0, 跳过=0
2026-06-16 15:25:27,783 [INFO] 全市场股票数: 5283
2026-06-16 15:25:59,798 [INFO] 进度: 50/5283, 成功=50, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:26:31,185 [INFO] 进度: 100/5283, 成功=100, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:27:03,388 [INFO] 进度: 150/5283, 成功=150, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:27:35,946 [INFO] 进度: 200/5283, 成功=200, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:28:09,123 [INFO] 进度: 250/5283, 成功=250, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:28:44,177 [INFO] 进度: 300/5283, 成功=300, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:29:19,255 [INFO] 进度: 350/5283, 成功=350, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:29:52,255 [INFO] 进度: 400/5283, 成功=400, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:30:22,652 [INFO] 进度: 450/5283, 成功=450, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:30:53,920 [INFO] 进度: 500/5283, 成功=500, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:31:29,562 [INFO] 进度: 550/5283, 成功=550, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:32:03,960 [INFO] 进度: 600/5283, 成功=600, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:32:37,945 [INFO] 进度: 650/5283, 成功=650, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:33:11,449 [INFO] 进度: 700/5283, 成功=700, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:33:45,633 [INFO] 进度: 750/5283, 成功=750, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:34:21,952 [INFO] 进度: 800/5283, 成功=800, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:34:56,697 [INFO] 进度: 850/5283, 成功=850, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:35:31,670 [INFO] 进度: 900/5283, 成功=900, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:36:06,137 [INFO] 进度: 950/5283, 成功=950, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:36:39,822 [INFO] 进度: 1000/5283, 成功=1000, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:37:11,080 [INFO] 进度: 1050/5283, 成功=1050, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:37:41,391 [INFO] 进度: 1100/5283, 成功=1100, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:38:12,293 [INFO] 进度: 1150/5283, 成功=1150, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:38:43,370 [INFO] 进度: 1200/5283, 成功=1200, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:39:13,342 [INFO] 进度: 1250/5283, 成功=1250, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:39:48,832 [INFO] 进度: 1300/5283, 成功=1300, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:40:24,099 [INFO] 进度: 1350/5283, 成功=1350, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:40:55,530 [INFO] 进度: 1400/5283, 成功=1400, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:41:32,239 [INFO] 进度: 1450/5283, 成功=1450, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:42:05,247 [INFO] 进度: 1500/5283, 成功=1500, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:42:42,997 [INFO] 进度: 1550/5283, 成功=1550, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:43:13,770 [INFO] 进度: 1600/5283, 成功=1600, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:43:44,427 [INFO] 进度: 1650/5283, 成功=1650, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:44:15,356 [INFO] 进度: 1700/5283, 成功=1700, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:44:46,245 [INFO] 进度: 1750/5283, 成功=1750, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:45:17,388 [INFO] 进度: 1800/5283, 成功=1800, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:45:47,977 [INFO] 进度: 1850/5283, 成功=1850, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:46:18,556 [INFO] 进度: 1900/5283, 成功=1900, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:46:48,794 [INFO] 进度: 1950/5283, 成功=1950, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:47:20,795 [INFO] 进度: 2000/5283, 成功=2000, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:47:51,021 [INFO] 进度: 2050/5283, 成功=2050, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:48:20,447 [INFO] 进度: 2100/5283, 成功=2100, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:48:50,417 [INFO] 进度: 2150/5283, 成功=2150, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:49:20,671 [INFO] 进度: 2200/5283, 成功=2200, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:49:50,332 [INFO] 进度: 2250/5283, 成功=2250, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:50:20,215 [INFO] 进度: 2300/5283, 成功=2300, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:50:50,656 [INFO] 进度: 2350/5283, 成功=2350, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:51:20,887 [INFO] 进度: 2400/5283, 成功=2400, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:51:49,893 [INFO] 进度: 2450/5283, 成功=2450, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:52:19,948 [INFO] 进度: 2500/5283, 成功=2500, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:52:49,927 [INFO] 进度: 2550/5283, 成功=2550, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:53:21,639 [INFO] 进度: 2600/5283, 成功=2600, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:53:51,648 [INFO] 进度: 2650/5283, 成功=2650, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:54:22,372 [INFO] 进度: 2700/5283, 成功=2700, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:54:51,498 [INFO] 进度: 2750/5283, 成功=2750, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:55:26,429 [INFO] 进度: 2800/5283, 成功=2800, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:55:59,839 [INFO] 进度: 2850/5283, 成功=2850, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:56:34,483 [INFO] 进度: 2900/5283, 成功=2900, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:57:08,012 [INFO] 进度: 2950/5283, 成功=2950, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:57:40,726 [INFO] 进度: 3000/5283, 成功=3000, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:58:13,876 [INFO] 进度: 3050/5283, 成功=3050, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:58:45,250 [INFO] 进度: 3100/5283, 成功=3100, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:59:16,734 [INFO] 进度: 3150/5283, 成功=3150, 失败=0, 跳过=0, 本批=0条
2026-06-16 15:59:50,226 [INFO] 进度: 3200/5283, 成功=3200, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:00:24,967 [INFO] 进度: 3250/5283, 成功=3250, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:00:58,419 [INFO] 进度: 3300/5283, 成功=3300, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:01:32,146 [INFO] 进度: 3350/5283, 成功=3350, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:02:05,968 [INFO] 进度: 3400/5283, 成功=3400, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:02:37,377 [INFO] 进度: 3450/5283, 成功=3450, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:03:07,678 [INFO] 进度: 3500/5283, 成功=3500, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:03:37,361 [INFO] 进度: 3550/5283, 成功=3550, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:04:07,740 [INFO] 进度: 3600/5283, 成功=3600, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:04:38,392 [INFO] 进度: 3650/5283, 成功=3650, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:05:10,135 [INFO] 进度: 3700/5283, 成功=3700, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:05:41,653 [INFO] 进度: 3750/5283, 成功=3750, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:06:12,171 [INFO] 进度: 3800/5283, 成功=3800, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:06:41,862 [INFO] 进度: 3850/5283, 成功=3850, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:07:12,887 [INFO] 进度: 3900/5283, 成功=3900, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:07:43,277 [INFO] 进度: 3950/5283, 成功=3950, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:08:14,153 [INFO] 进度: 4000/5283, 成功=4000, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:08:44,834 [INFO] 进度: 4050/5283, 成功=4050, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:09:15,623 [INFO] 进度: 4100/5283, 成功=4100, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:09:59,503 [INFO] 进度: 4150/5283, 成功=4150, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:10:29,997 [INFO] 进度: 4200/5283, 成功=4200, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:11:00,618 [INFO] 进度: 4250/5283, 成功=4250, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:11:31,089 [INFO] 进度: 4300/5283, 成功=4300, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:11:59,672 [INFO] 进度: 4350/5283, 成功=4350, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:12:28,777 [INFO] 进度: 4400/5283, 成功=4400, 失败=0, 跳过=0, 本批=0条
2026-06-16 16:12:59,266 [INFO] 进度: 4450/5283, 成功=4450, 失败=0, 跳过=0, 本批=0条
